Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,23330,2023-11-14,0.0042440606,-0.087773928,-0.091289424,21,100
Market-Adjusted Model,23331,2023-11-14,0.2926092824,0.1798777429,0.1970757977,21,100
Market-Adjusted Model,23335,2023-11-14,0.358950329,0.2364072931,0.2634168443,21,100
Market-Adjusted Model,23336,2023-11-14,-0.20213641,-0.307920125,-0.297669895,21,100
Market-Adjusted Model,23337,2023-11-14,0.1541716514,0.0544058073,0.0586381667,21,100
Market-Adjusted Model,23338,2023-11-14,0.0512204022,-0.041581966,-0.044313083,21,100
Market-Adjusted Model,23339,2023-11-14,0.0107265892,-0.081316378,-0.084806896,21,100
Market-Adjusted Model,23340,2023-11-14,0.0974773992,0.0050838655,0.0019439144,21,100
Market-Adjusted Model,23343,2023-11-14,0.2956203521,0.1792150364,0.2000868674,21,100
Market-Adjusted Model,23344,2023-11-14,-0.034141039,-0.121245502,-0.129674524,21,100
Market-Adjusted Model,23345,2023-11-14,0.0446096958,-0.044291661,-0.050923789,21,100
Market-Adjusted Model,23346,2023-11-14,0.0075776304,-0.084454978,-0.087955854,21,100
Market-Adjusted Model,23347,2023-11-14,0.022028267,-0.070189736,-0.073505218,21,100
Market-Adjusted Model,23348,2023-11-14,0.0968105044,0.0010913889,0.0012770196,21,100
Market-Adjusted Model,23349,2023-11-14,0.0832447895,-0.011086709,-0.012288695,21,100
Market-Adjusted Model,23350,2023-11-14,0.0218201421,-0.070062245,-0.073713343,21,100
Market-Adjusted Model,23351,2023-11-14,0.0870934416,-0.007397129,-0.008440043,21,100
Market-Adjusted Model,23352,2023-11-14,0.4856115717,0.3804658342,0.390078087,21,100
Market-Adjusted Model,23353,2023-11-14,0.0055246567,-0.086499544,-0.090008828,21,100
Market-Adjusted Model,23354,2023-11-14,0.1306158,0.0333440162,0.0350823153,21,100
Market-Adjusted Model,23355,2023-11-14,0.0651407205,-0.028174912,-0.030392764,21,100
Market-Adjusted Model,23356,2023-11-14,0.0469354846,-0.04574394,-0.048598,21,100
Market-Adjusted Model,23357,2023-11-14,0.0335500023,-0.058788508,-0.061983482,21,100
Market-Adjusted Model,23358,2023-11-14,0.0184943057,-0.073606502,-0.077039179,21,100
Market-Adjusted Model,23359,2023-11-14,0.0116062129,-0.080440081,-0.083927272,21,100
Market-Adjusted Model,23360,2023-11-14,0.0066950166,-0.085333701,-0.088838468,21,100
Market-Adjusted Model,23361,2023-11-14,-0.038429578,-0.12972506,-0.133963062,21,100
Market-Adjusted Model,23367,2023-11-14,0.124875515,0.0310634701,0.0293420303,21,100
Market-Adjusted Model,23370,2023-11-14,0.0509116164,-0.042155103,-0.044621868,21,100
Market-Adjusted Model,23371,2023-11-14,0.0983748854,0.0028086965,0.0028414007,21,100
Market-Adjusted Model,23372,2023-11-14,-0.055489994,-0.137555458,-0.151023479,21,100
Market-Adjusted Model,23373,2023-11-14,0.1969103153,0.0921080783,0.1013768305,21,100
Market-Adjusted Model,23374,2023-11-14,0.0902439307,-0.00477378,-0.005289554,21,100
Market-Adjusted Model,23375,2023-11-14,0.5722543303,0.3979662911,0.4767208455,21,100
Market-Adjusted Model,23378,2023-11-14,0.0443591787,-0.047441604,-0.051174306,21,100
Market-Adjusted Model,23379,2023-11-14,0.0785644424,-0.003942023,-0.016969042,21,100
Market-Adjusted Model,23380,2023-11-14,0.1578947621,0.2448115729,0.0623612774,21,100
Market-Adjusted Model,23381,2023-11-14,0.5789474144,0.4297967179,0.4834139296,21,100
Market-Adjusted Model,23382,2023-11-14,0.0217246067,-0.070406354,-0.073808878,21,100
Market-Adjusted Model,23383,2023-11-14,0.0578123803,-0.035216182,-0.037721104,21,100
Market-Adjusted Model,23385,2023-11-14,0.0916634304,-0.003297074,-0.003870054,21,100
Market-Adjusted Model,23386,2023-11-14,0.0831365548,-0.004036804,-0.01239693,21,100
Market-Adjusted Model,23387,2023-11-14,0.0308487925,-0.061379377,-0.064684692,21,100
